userName,score,at,content
Ragil Sumardi,5,2022-01-18 07:52:45,sangat memuaskan
Hasrianti Hamzah,5,2022-01-18 07:47:28,aku suka pengemudi seperti ini lincah dan tepat
Dinda Permata,1,2022-01-18 07:40:54,Parah sih ini aplikasi
Regina Situmorang,5,2022-01-18 07:29:28,sorry y pak slh tujuan y
Desy Widya,5,2022-01-18 07:25:14,Lumayan murah sih di banding yg lain.. Pertahankan.. Cm untuk order makanan blm coba hehehe..
Strompoy Me,5,2022-01-18 07:14:50,pelayanan ramah. tepat waktu. pokonmah debast
Pak Surito,5,2022-01-18 07:00:44,👍🤝
Agustina Arrahman,5,2022-01-18 06:50:30,baik
Diiana Dhy,5,2022-01-18 06:45:47,terima kasih 🙏
ASRINI SUTRIADI,5,2022-01-18 06:39:15,sebenarnya yg kurang hanya tidak siapkan jas hujan bagi penumpangnya
Yunita Rachmawati,5,2022-01-18 06:37:06,massnya baiikk
Razak Bpp,5,2022-01-18 06:36:35,Good Job ☺️👍👍
Sanni Saragih,5,2022-01-18 06:35:06,Sangat mudah dingunakan
naomi_ gabe,5,2022-01-18 06:34:05,"Drivernya baik,ramah."
Bang Buttet,2,2022-01-18 06:32:24,"pelayanan yang bagus cepat lagi,saya suka🙏"
M. NUR ICHSAN IN,4,2022-01-18 06:29:14,bagus apk nya
Santy Geresiya,5,2022-01-18 06:27:00,Sangat membatu saya app ny
nuti bunda leandzea,5,2022-01-18 06:22:06,tepat sesuai arahan
Yendra Mulya,5,2022-01-18 06:19:42,mantap....
ida titik rohanah,3,2022-01-18 06:19:06,ramah drivernya.🙏
asep ganteng,4,2022-01-18 06:18:44,Terima kasih atas pelayanannya
Yoga Hafizh,5,2022-01-18 06:00:05,cepat
Bli Khrisna,5,2022-01-18 05:59:04,best 👍👍
Seppy. s. wafom,5,2022-01-18 05:56:33,sopan orangnya
pratama saputrah22,4,2022-01-18 05:46:56,Jtannma
Agus ramdhoni kayza,5,2022-01-18 05:45:59,abangnya ganteng pisan
Rio Kopak,5,2022-01-18 05:40:53,mantappp driver nya
Gregorius Junior,5,2022-01-18 05:40:07,Entap murah banget
Anspool 09,5,2022-01-18 05:39:56,baik membantu
Supono Karangbale,5,2022-01-18 05:39:18,"aplikasi ny bagus,,"
Nur Fitria,3,2022-01-18 05:38:56,"Tolong fitur chatnya di perbaiki lagi, soalnya balasan dr driver selalu telat masuknya"
Putra ramadhan surya,5,2022-01-18 05:38:16,mantaaap
Calvin Harris,5,2022-01-18 05:34:03,good job
Wahyu Agung Aprilianta,4,2022-01-18 05:28:44,bagi diskon dong
MRehan Anshory,5,2022-01-18 05:16:44,pelayanannya bagus 👍🏻
amyen forester,5,2022-01-18 05:13:06,ramah dan humoris tidak jenuh di dalam pejalanan
Ishlahuddin Az Zaini,3,2022-01-18 05:10:56,maping dan koneksi ke driver lamban sekali.... kasihan pak drivernya
Triana Yuni Astuti,5,2022-01-18 05:04:26,bagus banget
Endah Putri Pertiwi,3,2022-01-18 04:54:04,"Untuk harga Oke terjangkau, tapi menunya masih membingungkan, sama mapnya tlong di upgrade lagi, kurir suka bingung. Itu aja, semoga lebih baik lagi👍"
MASNIAH 23,5,2022-01-18 04:52:19,senang biaya nya murah sehingga sangat membantu
Raja Muhammad Saleh Rahman Alharizki,3,2022-01-18 04:43:58,Cobalah ambil orderan jangan random sistemnya. Tolong ya maxim diubah sistemnya. Saya jaraknya dekat gak sampai satu kilometer malah gadapat. Kadang uda muncul berapa kali orderan yang dekat jaraknya dengan saya malah ga kebagian. Tolong sistemnya diubah dengan yang lebih WARAS. Jarak cuman 0.6km gadapat.
Nurmilan Putri balqis,5,2022-01-18 04:33:16,bagus
Enam Pro,5,2022-01-18 04:32:56,mantap
Turdo Reskrim03,5,2022-01-18 04:32:46,"mantap, cepat"
Muntazar Izar,5,2022-01-18 04:28:30,Mantap sekali maximnya.....
Yeon Jun,2,2022-01-18 04:21:56,Maxim driver rata rata berbohong yang dari 8700 ( promo potongan ) mereka bilang malah 10000 dan juga kebanyakan harga/ongkos nya itu uangnya nggak pas kadang 9600 atau 8700 coba kalau 9000 atau 8000 saya akan langganan maxim setiap hari untuk sekarang saya kasih bintang dua dulu Ntar kalau udh dibenerin aku kasih bintang 5
Wina Erlita,5,2022-01-18 04:19:42,Terimakasih kk sdh mengantar dengan baik dan selamat
Alex Sander,5,2022-01-18 04:06:47,keren bangetttttt amanah banget
ABI AHMAD,1,2022-01-18 03:57:28,"untuk Maxim car Aplikasi sangat jelek, baru cari titik sudah Ter KLIK, tidak bisa BATAL, dan terpaksa langsung bayar 20ribu ke Driver 😡🤮 PENGALAMAN BURUK"
